Epoch,Train Loss,Train F1,Train Recall,Train Precision,Train Top1 Acc,Val Loss,Val F1,Val Recall,Val Precision,Val Top1 Acc
1,0.1704,0.8216,0.8216,0.8216,0.8216,0.1718,0.7974,0.8184,0.8294,0.8184
2,0.1233,0.8674,0.8674,0.8674,0.8674,0.1437,0.8415,0.8467,0.8431,0.8467
3,0.1103,0.8849,0.8849,0.8849,0.8849,0.1403,0.8476,0.8494,0.8469,0.8494
4,0.1269,0.8667,0.8667,0.8668,0.8667,0.2069,0.7846,0.7754,0.8271,0.7754
5,0.0960,0.8989,0.8989,0.8989,0.8989,0.1301,0.8606,0.8603,0.8609,0.8603
6,0.1051,0.8897,0.8897,0.8897,0.8897,0.1715,0.8246,0.8186,0.8468,0.8186
7,0.0811,0.9155,0.9155,0.9156,0.9155,0.1233,0.8671,0.8686,0.8665,0.8686
8,0.0766,0.9193,0.9193,0.9193,0.9193,0.1287,0.8647,0.8640,0.8656,0.8640
9,0.0810,0.9160,0.9160,0.9160,0.9160,0.1838,0.8121,0.8050,0.8399,0.8050
10,0.0715,0.9246,0.9246,0.9246,0.9246,0.1272,0.8693,0.8679,0.8716,0.8679
11,0.0693,0.9274,0.9274,0.9275,0.9274,0.1508,0.8420,0.8370,0.8600,0.8370
12,0.0560,0.9416,0.9416,0.9416,0.9416,0.1383,0.8553,0.8526,0.8617,0.8526
13,0.0691,0.9274,0.9274,0.9274,0.9274,0.1577,0.8386,0.8336,0.8562,0.8336
14,0.0590,0.9384,0.9384,0.9385,0.9384,0.1194,0.8742,0.8749,0.8738,0.8749
15,0.0517,0.9469,0.9469,0.9469,0.9469,0.1355,0.8594,0.8558,0.8708,0.8558
16,0.0452,0.9529,0.9529,0.9529,0.9529,0.1106,0.8849,0.8853,0.8845,0.8853
17,0.0427,0.9559,0.9559,0.9559,0.9559,0.1631,0.8335,0.8273,0.8594,0.8273
18,0.0443,0.9540,0.9540,0.9540,0.9540,0.1361,0.8599,0.8567,0.8691,0.8567
19,0.0412,0.9571,0.9571,0.9571,0.9571,0.1223,0.8742,0.8721,0.8792,0.8721
20,0.0369,0.9623,0.9623,0.9623,0.9623,0.1468,0.8505,0.8459,0.8666,0.8459
21,0.0356,0.9629,0.9629,0.9629,0.9629,0.1302,0.8669,0.8644,0.8727,0.8644
22,0.0358,0.9621,0.9621,0.9621,0.9621,0.1364,0.8596,0.8554,0.8749,0.8554
23,0.0341,0.9646,0.9646,0.9646,0.9646,0.1115,0.8837,0.8842,0.8833,0.8842
24,0.0328,0.9662,0.9662,0.9663,0.9662,0.2110,0.7897,0.7803,0.8462,0.7803
25,0.1069,0.8876,0.8876,0.8878,0.8876,0.1755,0.8193,0.8131,0.8405,0.8131
26,0.0622,0.9346,0.9346,0.9346,0.9346,0.2199,0.7788,0.7689,0.8429,0.7689
27,0.0456,0.9525,0.9525,0.9525,0.9525,0.1401,0.8572,0.8540,0.8660,0.8540
28,0.0373,0.9613,0.9613,0.9613,0.9613,0.1661,0.8303,0.8239,0.8581,0.8239
29,0.0339,0.9646,0.9646,0.9646,0.9646,0.1259,0.8694,0.8693,0.8694,0.8693
30,0.0450,0.9535,0.9535,0.9535,0.9535,0.1703,0.8274,0.8209,0.8553,0.8209
31,0.0323,0.9663,0.9663,0.9663,0.9663,0.1199,0.8746,0.8741,0.8753,0.8741
32,0.0314,0.9679,0.9679,0.9679,0.9679,0.1373,0.8615,0.8580,0.8722,0.8580
33,0.0268,0.9726,0.9726,0.9726,0.9726,0.1850,0.8189,0.8116,0.8544,0.8116
34,0.1001,0.8948,0.8948,0.8948,0.8948,0.1618,0.8325,0.8274,0.8483,0.8274
35,0.0529,0.9447,0.9447,0.9448,0.9447,0.1688,0.8285,0.8221,0.8554,0.8221
36,0.0402,0.9592,0.9592,0.9592,0.9592,0.1443,0.8547,0.8504,0.8695,0.8504
37,0.0504,0.9482,0.9482,0.9482,0.9482,0.1429,0.8530,0.8490,0.8653,0.8490
38,0.0300,0.9693,0.9693,0.9693,0.9693,0.1523,0.8468,0.8417,0.8667,0.8417
39,0.0275,0.9717,0.9717,0.9717,0.9717,0.1315,0.8673,0.8643,0.8759,0.8643
40,0.0270,0.9726,0.9726,0.9726,0.9726,0.1269,0.8695,0.8677,0.8731,0.8677
41,0.0240,0.9755,0.9755,0.9755,0.9755,0.1221,0.8752,0.8732,0.8795,0.8732
42,0.0208,0.9786,0.9786,0.9786,0.9786,0.1443,0.8551,0.8506,0.8724,0.8506
43,0.0223,0.9767,0.9767,0.9767,0.9767,0.1696,0.8303,0.8237,0.8614,0.8237
44,0.0216,0.9782,0.9782,0.9782,0.9782,0.1445,0.8551,0.8507,0.8709,0.8507
45,0.0226,0.9768,0.9768,0.9768,0.9768,0.1456,0.8532,0.8488,0.8685,0.8488
46,0.0212,0.9780,0.9780,0.9780,0.9780,0.1340,0.8647,0.8617,0.8729,0.8617
47,0.0180,0.9819,0.9819,0.9819,0.9819,0.1457,0.8540,0.8493,0.8717,0.8493
48,0.0176,0.9822,0.9822,0.9822,0.9822,0.1223,0.8744,0.8723,0.8794,0.8723
49,0.0150,0.9848,0.9848,0.9848,0.9848,0.1433,0.8572,0.8531,0.8711,0.8531
50,0.0175,0.9822,0.9822,0.9822,0.9822,0.1412,0.8576,0.8536,0.8709,0.8536
51,0.0160,0.9836,0.9836,0.9836,0.9836,0.1467,0.8544,0.8503,0.8674,0.8503
52,0.0137,0.9861,0.9861,0.9861,0.9861,0.1471,0.8525,0.8478,0.8701,0.8478
