Epoch,Train Loss,Train F1,Train Recall,Train Precision,Train Top1 Acc,Val Loss,Val F1,Val Recall,Val Precision,Val Top1 Acc
53,0.0164,0.9836,0.9836,0.9836,0.9836,0.1446,0.8554,0.8512,0.8698,0.8512
54,0.0308,0.9677,0.9677,0.9677,0.9677,0.1644,0.8367,0.8307,0.8622,0.8307
55,0.0231,0.9760,0.9760,0.9760,0.9760,0.1346,0.8639,0.8604,0.8750,0.8604
56,0.0176,0.9820,0.9820,0.9821,0.9820,0.1512,0.8475,0.8423,0.8676,0.8423
57,0.0170,0.9825,0.9825,0.9825,0.9825,0.1423,0.8571,0.8529,0.8717,0.8529
58,0.0356,0.9628,0.9628,0.9628,0.9628,0.1455,0.8530,0.8490,0.8655,0.8490
59,0.0247,0.9738,0.9738,0.9738,0.9738,0.1491,0.8500,0.8458,0.8637,0.8458
60,0.0197,0.9795,0.9795,0.9795,0.9795,0.1452,0.8532,0.8490,0.8675,0.8490
61,0.0174,0.9821,0.9821,0.9821,0.9821,0.1417,0.8573,0.8541,0.8658,0.8541
62,0.0948,0.8988,0.8989,0.8989,0.8989,0.1695,0.8240,0.8197,0.8348,0.8197
63,0.0467,0.9508,0.9508,0.9508,0.9508,0.2056,0.7910,0.7818,0.8431,0.7818
64,0.0943,0.8985,0.8985,0.8990,0.8985,0.1660,0.8294,0.8239,0.8480,0.8239
65,0.0484,0.9499,0.9500,0.9500,0.9500,0.1285,0.8660,0.8648,0.8681,0.8648
66,0.0385,0.9583,0.9583,0.9584,0.9583,0.1656,0.8321,0.8260,0.8566,0.8260
67,0.0301,0.9679,0.9679,0.9679,0.9679,0.1539,0.8403,0.8351,0.8595,0.8351
68,0.0488,0.9492,0.9492,0.9493,0.9492,0.1335,0.8622,0.8592,0.8701,0.8592
69,0.0293,0.9696,0.9696,0.9696,0.9696,0.1488,0.8462,0.8413,0.8636,0.8413
70,0.0256,0.9740,0.9740,0.9740,0.9740,0.1355,0.8597,0.8563,0.8697,0.8563
71,0.0202,0.9795,0.9795,0.9795,0.9795,0.1522,0.8485,0.8432,0.8705,0.8432
72,0.0202,0.9796,0.9796,0.9796,0.9796,0.1567,0.8428,0.8377,0.8613,0.8377
73,0.0352,0.9635,0.9635,0.9635,0.9635,0.1428,0.8546,0.8506,0.8674,0.8506
74,0.0214,0.9778,0.9778,0.9778,0.9778,0.1671,0.8305,0.8239,0.8607,0.8239
75,0.0190,0.9805,0.9805,0.9805,0.9805,0.1346,0.8630,0.8593,0.8747,0.8593
76,0.0164,0.9829,0.9829,0.9829,0.9829,0.1268,0.8720,0.8697,0.8776,0.8697
77,0.0151,0.9847,0.9847,0.9847,0.9847,0.1204,0.8766,0.8753,0.8790,0.8753
78,0.0150,0.9845,0.9845,0.9845,0.9845,0.1379,0.8625,0.8591,0.8729,0.8591
79,0.0153,0.9843,0.9843,0.9843,0.9843,0.1503,0.8491,0.8439,0.8702,0.8439
80,0.0140,0.9859,0.9859,0.9859,0.9859,0.1511,0.8499,0.8449,0.8694,0.8449
81,0.0154,0.9840,0.9840,0.9841,0.9840,0.1445,0.8531,0.8486,0.8697,0.8486
82,0.0162,0.9831,0.9831,0.9831,0.9831,0.1370,0.8617,0.8580,0.8735,0.8580
83,0.0132,0.9868,0.9868,0.9868,0.9868,0.1727,0.8306,0.8239,0.8634,0.8239
84,0.0491,0.9494,0.9494,0.9494,0.9494,0.1320,0.8649,0.8628,0.8694,0.8628
85,0.0273,0.9716,0.9716,0.9716,0.9716,0.1334,0.8639,0.8616,0.8690,0.8616
86,0.0239,0.9756,0.9756,0.9756,0.9756,0.1264,0.8698,0.8681,0.8733,0.8681
87,0.0186,0.9809,0.9809,0.9809,0.9809,0.1358,0.8610,0.8580,0.8692,0.8580
88,0.0198,0.9798,0.9798,0.9798,0.9798,0.1830,0.8181,0.8106,0.8555,0.8106
89,0.0171,0.9821,0.9821,0.9821,0.9821,0.1700,0.8299,0.8233,0.8590,0.8233
90,0.0177,0.9822,0.9822,0.9822,0.9822,0.1489,0.8511,0.8470,0.8642,0.8470
91,0.0169,0.9828,0.9828,0.9828,0.9828,0.1346,0.8637,0.8610,0.8706,0.8610
92,0.0153,0.9843,0.9843,0.9843,0.9843,0.1313,0.8656,0.8631,0.8716,0.8631
93,0.0143,0.9854,0.9854,0.9854,0.9854,0.1437,0.8564,0.8527,0.8675,0.8527
94,0.0281,0.9702,0.9702,0.9702,0.9702,0.1395,0.8561,0.8527,0.8655,0.8527
95,0.0181,0.9814,0.9814,0.9814,0.9814,0.1382,0.8605,0.8568,0.8723,0.8568
96,0.0156,0.9840,0.9840,0.9840,0.9840,0.1281,0.8708,0.8682,0.8778,0.8682
97,0.0150,0.9849,0.9849,0.9849,0.9849,0.1479,0.8526,0.8479,0.8708,0.8479
98,0.0131,0.9866,0.9866,0.9866,0.9866,0.1371,0.8637,0.8602,0.8748,0.8602
99,0.0111,0.9889,0.9889,0.9889,0.9889,0.1592,0.8429,0.8374,0.8651,0.8374
100,0.0109,0.9891,0.9891,0.9891,0.9891,0.1510,0.8509,0.8460,0.8703,0.8460
101,0.0134,0.9863,0.9863,0.9863,0.9863,0.1352,0.8658,0.8626,0.8754,0.8626
102,0.0139,0.9855,0.9855,0.9855,0.9855,0.1309,0.8678,0.8652,0.8744,0.8652
103,0.0135,0.9865,0.9865,0.9865,0.9865,0.1618,0.8380,0.8323,0.8600,0.8323
104,0.0150,0.9848,0.9848,0.9848,0.9848,0.1546,0.8461,0.8413,0.8625,0.8413
105,0.0144,0.9850,0.9850,0.9850,0.9850,0.1559,0.8453,0.8403,0.8637,0.8403
106,0.0143,0.9855,0.9855,0.9855,0.9855,0.1603,0.8380,0.8321,0.8631,0.8321
107,0.0146,0.9854,0.9854,0.9854,0.9854,0.1634,0.8380,0.8326,0.8579,0.8326
108,0.0133,0.9860,0.9860,0.9860,0.9860,0.1424,0.8566,0.8529,0.8679,0.8529
109,0.0122,0.9872,0.9872,0.9872,0.9872,0.1493,0.8527,0.8481,0.8694,0.8481
110,0.0130,0.9865,0.9865,0.9865,0.9865,0.1670,0.8347,0.8286,0.8618,0.8286
111,0.0164,0.9830,0.9830,0.9830,0.9830,0.1397,0.8580,0.8544,0.8687,0.8544
112,0.0163,0.9833,0.9833,0.9833,0.9833,0.1339,0.8636,0.8610,0.8702,0.8610
113,0.0135,0.9863,0.9863,0.9863,0.9863,0.1564,0.8443,0.8390,0.8649,0.8390
114,0.0145,0.9849,0.9849,0.9849,0.9849,0.1747,0.8262,0.8197,0.8531,0.8197
115,0.0199,0.9795,0.9795,0.9795,0.9795,0.1376,0.8608,0.8580,0.8680,0.8580
116,0.0174,0.9817,0.9817,0.9817,0.9817,0.1628,0.8369,0.8314,0.8566,0.8314
117,0.0136,0.9862,0.9862,0.9862,0.9862,0.1498,0.8510,0.8466,0.8660,0.8466
118,0.0701,0.9268,0.9268,0.9268,0.9268,0.1628,0.8337,0.8291,0.8472,0.8291
119,0.0306,0.9681,0.9681,0.9682,0.9681,0.1623,0.8367,0.8312,0.8565,0.8312
120,0.0199,0.9789,0.9789,0.9789,0.9789,0.1678,0.8314,0.8250,0.8589,0.8250
121,0.0158,0.9837,0.9837,0.9837,0.9837,0.1548,0.8449,0.8400,0.8625,0.8400
122,0.0162,0.9836,0.9836,0.9836,0.9836,0.1783,0.8240,0.8171,0.8558,0.8171
123,0.0154,0.9843,0.9843,0.9843,0.9843,0.1382,0.8608,0.8581,0.8676,0.8581
124,0.0118,0.9880,0.9880,0.9880,0.9880,0.1443,0.8560,0.8520,0.8693,0.8520
125,0.0106,0.9891,0.9891,0.9891,0.9891,0.1611,0.8402,0.8346,0.8636,0.8346
126,0.0131,0.9864,0.9864,0.9864,0.9864,0.1333,0.8664,0.8639,0.8723,0.8639
127,0.0163,0.9835,0.9835,0.9835,0.9835,0.1545,0.8464,0.8412,0.8666,0.8412
128,0.0152,0.9843,0.9843,0.9843,0.9843,0.1650,0.8343,0.8283,0.8591,0.8283
129,0.0191,0.9803,0.9803,0.9804,0.9803,0.1771,0.8242,0.8171,0.8577,0.8171
130,0.0148,0.9844,0.9844,0.9845,0.9844,0.1458,0.8530,0.8483,0.8702,0.8483
131,0.0120,0.9879,0.9879,0.9879,0.9879,0.1433,0.8555,0.8518,0.8669,0.8518
132,0.0119,0.9881,0.9881,0.9881,0.9881,0.1402,0.8603,0.8567,0.8713,0.8567
133,0.0120,0.9880,0.9880,0.9880,0.9880,0.1273,0.8705,0.8687,0.8744,0.8687
134,0.0096,0.9901,0.9901,0.9901,0.9901,0.1295,0.8694,0.8673,0.8739,0.8673
135,0.0101,0.9895,0.9895,0.9895,0.9895,0.1479,0.8540,0.8493,0.8719,0.8493
136,0.0133,0.9862,0.9862,0.9862,0.9862,0.1485,0.8514,0.8470,0.8668,0.8470
137,0.0190,0.9803,0.9803,0.9803,0.9803,0.1467,0.8542,0.8498,0.8701,0.8498
138,0.0136,0.9858,0.9858,0.9858,0.9858,0.1362,0.8622,0.8584,0.8750,0.8584
139,0.0122,0.9876,0.9876,0.9876,0.9876,0.1503,0.8501,0.8450,0.8712,0.8450
140,0.0117,0.9883,0.9883,0.9883,0.9883,0.1253,0.8734,0.8719,0.8764,0.8719
141,0.0120,0.9874,0.9874,0.9874,0.9874,0.1435,0.8561,0.8524,0.8669,0.8524
142,0.0127,0.9868,0.9868,0.9868,0.9868,0.1413,0.8589,0.8551,0.8707,0.8551
143,0.0180,0.9815,0.9815,0.9815,0.9815,0.1436,0.8545,0.8507,0.8666,0.8507
144,0.0133,0.9865,0.9865,0.9865,0.9865,0.1300,0.8667,0.8647,0.8708,0.8647
145,0.0156,0.9836,0.9836,0.9836,0.9836,0.1714,0.8296,0.8230,0.8599,0.8230
146,0.0148,0.9846,0.9846,0.9846,0.9846,0.1629,0.8344,0.8283,0.8593,0.8283
147,0.0133,0.9860,0.9860,0.9860,0.9860,0.1485,0.8507,0.8469,0.8618,0.8469
148,0.0141,0.9853,0.9853,0.9853,0.9853,0.1831,0.8180,0.8104,0.8565,0.8104
149,0.0162,0.9834,0.9834,0.9834,0.9834,0.1585,0.8421,0.8368,0.8625,0.8368
150,0.0111,0.9884,0.9884,0.9884,0.9884,0.1414,0.8568,0.8536,0.8654,0.8536
151,0.0098,0.9900,0.9900,0.9900,0.9900,0.1571,0.8425,0.8371,0.8640,0.8371
152,0.0091,0.9909,0.9909,0.9909,0.9909,0.1433,0.8547,0.8507,0.8680,0.8507
153,0.0085,0.9916,0.9916,0.9916,0.9916,0.1327,0.8679,0.8653,0.8746,0.8653
154,0.0071,0.9927,0.9927,0.9927,0.9927,0.1438,0.8576,0.8533,0.8733,0.8533
155,0.0094,0.9905,0.9905,0.9905,0.9905,0.1338,0.8637,0.8621,0.8665,0.8621
156,0.0116,0.9881,0.9881,0.9881,0.9881,0.1498,0.8494,0.8447,0.8666,0.8447
157,0.0114,0.9880,0.9880,0.9880,0.9880,0.1356,0.8616,0.8587,0.8692,0.8587
158,0.0121,0.9875,0.9875,0.9875,0.9875,0.1435,0.8559,0.8524,0.8654,0.8524
159,0.0110,0.9885,0.9885,0.9885,0.9885,0.1368,0.8593,0.8556,0.8715,0.8556
160,0.0117,0.9877,0.9877,0.9877,0.9877,0.1464,0.8512,0.8471,0.8639,0.8471
161,0.0110,0.9886,0.9886,0.9886,0.9886,0.1361,0.8619,0.8587,0.8712,0.8587
162,0.0121,0.9878,0.9878,0.9878,0.9878,0.1549,0.8467,0.8421,0.8624,0.8421
163,0.0126,0.9874,0.9874,0.9874,0.9874,0.1414,0.8587,0.8554,0.8676,0.8554
164,0.0118,0.9880,0.9880,0.9880,0.9880,0.1590,0.8426,0.8376,0.8612,0.8376
165,0.0165,0.9829,0.9829,0.9829,0.9829,0.1613,0.8407,0.8353,0.8607,0.8353
166,0.0114,0.9883,0.9883,0.9883,0.9883,0.1493,0.8514,0.8468,0.8682,0.8468
167,0.0099,0.9900,0.9900,0.9900,0.9900,0.1425,0.8585,0.8546,0.8713,0.8546
168,0.0131,0.9865,0.9865,0.9865,0.9865,0.1603,0.8403,0.8352,0.8584,0.8352
169,0.0142,0.9848,0.9848,0.9848,0.9848,0.1517,0.8481,0.8432,0.8658,0.8432
170,0.0122,0.9873,0.9873,0.9873,0.9873,0.1283,0.8701,0.8678,0.8756,0.8678
171,0.0108,0.9889,0.9889,0.9889,0.9889,0.1340,0.8648,0.8618,0.8731,0.8618
172,0.0100,0.9897,0.9897,0.9897,0.9897,0.1774,0.8242,0.8170,0.8599,0.8170
173,0.0125,0.9872,0.9872,0.9872,0.9872,0.1704,0.8303,0.8238,0.8594,0.8238
174,0.0135,0.9866,0.9866,0.9866,0.9866,0.1389,0.8599,0.8570,0.8674,0.8570
175,0.0100,0.9898,0.9898,0.9898,0.9898,0.1386,0.8618,0.8581,0.8734,0.8581
176,0.0086,0.9912,0.9912,0.9912,0.9912,0.1349,0.8639,0.8618,0.8683,0.8618
177,0.0101,0.9898,0.9898,0.9898,0.9898,0.1405,0.8597,0.8560,0.8711,0.8560
178,0.0105,0.9891,0.9891,0.9891,0.9891,0.1618,0.8380,0.8329,0.8554,0.8329
179,0.0121,0.9875,0.9875,0.9875,0.9875,0.1499,0.8518,0.8474,0.8665,0.8474
180,0.0089,0.9910,0.9910,0.9910,0.9910,0.1515,0.8489,0.8443,0.8644,0.8443
181,0.0093,0.9903,0.9903,0.9903,0.9903,0.1491,0.8506,0.8466,0.8633,0.8466
182,0.0133,0.9861,0.9861,0.9861,0.9861,0.1559,0.8417,0.8363,0.8622,0.8363
183,0.0110,0.9886,0.9886,0.9886,0.9886,0.1561,0.8446,0.8401,0.8592,0.8401
184,0.0127,0.9872,0.9872,0.9872,0.9872,0.1592,0.8401,0.8351,0.8576,0.8351
185,0.0131,0.9862,0.9862,0.9862,0.9862,0.1445,0.8542,0.8512,0.8617,0.8512
186,0.0124,0.9874,0.9874,0.9874,0.9874,0.1406,0.8578,0.8544,0.8671,0.8544
187,0.0155,0.9838,0.9838,0.9838,0.9838,0.1596,0.8398,0.8350,0.8550,0.8350
188,0.0128,0.9869,0.9869,0.9869,0.9869,0.1518,0.8480,0.8437,0.8615,0.8437
189,0.0151,0.9842,0.9842,0.9842,0.9842,0.1446,0.8536,0.8504,0.8617,0.8504
190,0.0144,0.9855,0.9855,0.9855,0.9855,0.1349,0.8648,0.8617,0.8738,0.8617
191,0.0093,0.9903,0.9903,0.9903,0.9903,0.1469,0.8538,0.8497,0.8671,0.8497
192,0.0110,0.9885,0.9885,0.9885,0.9885,0.1364,0.8629,0.8600,0.8705,0.8600
193,0.0083,0.9916,0.9916,0.9916,0.9916,0.1495,0.8523,0.8477,0.8694,0.8477
194,0.0094,0.9905,0.9905,0.9905,0.9905,0.1572,0.8442,0.8393,0.8613,0.8393
195,0.0107,0.9892,0.9892,0.9892,0.9892,0.1295,0.8694,0.8676,0.8732,0.8676
196,0.0137,0.9857,0.9857,0.9857,0.9857,0.1627,0.8381,0.8332,0.8537,0.8332
197,0.0126,0.9868,0.9868,0.9868,0.9868,0.1311,0.8673,0.8647,0.8738,0.8647
198,0.0096,0.9903,0.9903,0.9903,0.9903,0.1568,0.8427,0.8371,0.8663,0.8371
199,0.0106,0.9895,0.9895,0.9895,0.9895,0.1342,0.8648,0.8618,0.8735,0.8618
200,0.0083,0.9917,0.9917,0.9917,0.9917,0.1500,0.8498,0.8451,0.8666,0.8451
