Epoch,Train Loss,Train F1,Train Recall,Train Precision,Train Top1 Acc,Val Loss,Val F1,Val Recall,Val Precision,Val Top1 Acc
61,0.0392,0.9590,0.9590,0.9590,0.9590,0.1461,0.8507,0.8470,0.8609,0.8470
62,0.0473,0.9509,0.9509,0.9509,0.9509,0.1759,0.8264,0.8198,0.8553,0.8198
63,0.0383,0.9604,0.9604,0.9605,0.9604,0.1514,0.8456,0.8410,0.8606,0.8410
64,0.0370,0.9615,0.9615,0.9615,0.9615,0.1309,0.8653,0.8628,0.8716,0.8628
65,0.0321,0.9662,0.9662,0.9663,0.9662,0.1383,0.8584,0.8551,0.8676,0.8551
66,0.0380,0.9605,0.9605,0.9605,0.9605,0.1711,0.8296,0.8233,0.8549,0.8233
67,0.0358,0.9620,0.9620,0.9620,0.9620,0.1352,0.8614,0.8580,0.8712,0.8580
68,0.0320,0.9661,0.9661,0.9661,0.9661,0.1515,0.8480,0.8430,0.8675,0.8430
69,0.0293,0.9700,0.9700,0.9700,0.9700,0.1716,0.8287,0.8222,0.8560,0.8222
70,0.0311,0.9679,0.9679,0.9679,0.9679,0.1311,0.8626,0.8602,0.8678,0.8602
71,0.0300,0.9687,0.9687,0.9687,0.9687,0.1929,0.8083,0.8003,0.8464,0.8003
72,0.1010,0.8935,0.8935,0.8938,0.8935,0.1709,0.8213,0.8148,0.8463,0.8148
73,0.0627,0.9337,0.9337,0.9337,0.9337,0.1467,0.8504,0.8479,0.8558,0.8479
74,0.0488,0.9492,0.9492,0.9492,0.9492,0.1521,0.8454,0.8413,0.8570,0.8413
75,0.0399,0.9588,0.9588,0.9588,0.9588,0.1594,0.8394,0.8337,0.8629,0.8337
76,0.0361,0.9628,0.9628,0.9628,0.9628,0.1454,0.8525,0.8496,0.8595,0.8496
77,0.0836,0.9124,0.9124,0.9125,0.9124,0.2061,0.7926,0.7839,0.8322,0.7839
